ccode,name,isic3rev2,isicnames,ID_elast,ID_elast_se
"ARM","ARMENIA","355","Rubber products",-1.032205,.0732309
"ARM","ARMENIA","356","Plastic products",-.9751307,.0739875
"ARM","ARMENIA","361","Pottery  china  earthenware",-.8819219,.198925
"ARM","ARMENIA","362","Glass and products",-1.005552,.0044051
"ARM","ARMENIA","369","Other non-metallic mineral products",-.788504,.3289449
"ARM","ARMENIA","371","Iron and steel",-1.004305,.0419096
"ARM","ARMENIA","372","Non-ferrous metals",-1.009763,.0149925
"ARM","ARMENIA","381","Fabricated metal products",-.9718871,.0529153
"ARM","ARMENIA","382","Machinery  except electrical",-.9764646,.0556389
"ARM","ARMENIA","383","Machinery  electric",-1.505036,.64833
"ARM","ARMENIA","384","Transport equipment",-.9955009,.0190184
"ARM","ARMENIA","385","Professional and scientific equipment",-.9886988,.0101912
"ARM","ARMENIA","390","Other manufactured products",-1.048655,.0077858
"ATG","ANTIGUA,BARB","311","Food products",-1.081361,.0094758
"ATG","ANTIGUA,BARB","313","Beverages",-1.05382,.0196684
"ATG","ANTIGUA,BARB","314","Tobacco",-1.001063,.0192072
"ATG","ANTIGUA,BARB","321","Textiles",-1.283363,.2301447
"ATG","ANTIGUA,BARB","322","Wearing apparel  except footwear",-.9927352,.0725951
"ATG","ANTIGUA,BARB","323","Leather products",-1.030732,.2213368
"ATG","ANTIGUA,BARB","324","Footwear  except rubber or plastic",-.8748602,.1768937
"ATG","ANTIGUA,BARB","331","Wood products  except furniture",-1.008855,.0168024
"ATG","ANTIGUA,BARB","332","Furniture  except metal",-1.008574,.0018156
"ATG","ANTIGUA,BARB","341","Paper and products",-1.126401,.0908701
"ATG","ANTIGUA,BARB","342","Printing and publishing",-1.055563,.1036829
"ATG","ANTIGUA,BARB","351","Industrial chemicals",-1.014561,.0173752
"ATG","ANTIGUA,BARB","352","Other chemicals",-1.020816,.0049639
"ATG","ANTIGUA,BARB","353","Petroleum refineries",-.2292053,1.11203
"ATG","ANTIGUA,BARB","354","Miscellaneous petroleum and coal products",-1.00415,.0127067
"ATG","ANTIGUA,BARB","355","Rubber products",-1.027591,.055683
"ATG","ANTIGUA,BARB","356","Plastic products",-1.003465,.0232878
"ATG","ANTIGUA,BARB","361","Pottery  china  earthenware",-.9672963,.0572577
"ATG","ANTIGUA,BARB","362","Glass and products",-1.00553,.0044863
"ATG","ANTIGUA,BARB","369","Other non-metallic mineral products",-.9598104,.0736627
"ATG","ANTIGUA,BARB","371","Iron and steel",-1.011657,.0156428
"ATG","ANTIGUA,BARB","372","Non-ferrous metals",-1.013615,.0407913
"ATG","ANTIGUA,BARB","381","Fabricated metal products",-1.018264,.0125841
"ATG","ANTIGUA,BARB","382","Machinery  except electrical",-1.022798,.0281742
"ATG","ANTIGUA,BARB","383","Machinery  electric",-1.307225,.3213605
"ATG","ANTIGUA,BARB","384","Transport equipment",-1.083814,.00206
"ATG","ANTIGUA,BARB","385","Professional and scientific equipment",-.9884549,.0101844
"ATG","ANTIGUA,BARB","390","Other manufactured products",-1.030998,.0243148
"AUS","AUSTRALIA","311","Food products",-1.191369,.1597295
"AUS","AUSTRALIA","313","Beverages",-1.952486,.5436035
"AUS","AUSTRALIA","314","Tobacco",-.9917864,.2677609
"AUS","AUSTRALIA","321","Textiles",-1.481202,.3984574
"AUS","AUSTRALIA","322","Wearing apparel  except footwear",-.9542533,.2111638
"AUS","AUSTRALIA","323","Leather products",-1.029311,.2104944
"AUS","AUSTRALIA","324","Footwear  except rubber or plastic",-.6319668,.520008
"AUS","AUSTRALIA","331","Wood products  except furniture",-.7477047,.2690091
"AUS","AUSTRALIA","332","Furniture  except metal",-.9979338,.0179402
"AUS","AUSTRALIA","341","Paper and products",-1.281568,.2138619
"AUS","AUSTRALIA","342","Printing and publishing",-1.160007,.3287328
"AUS","AUSTRALIA","351","Industrial chemicals",-1.014949,.0146601
"AUS","AUSTRALIA","352","Other chemicals",-.9983887,.018651
"AUS","AUSTRALIA","353","Petroleum refineries",-.7836809,.3115599
"AUS","AUSTRALIA","354","Miscellaneous petroleum and coal products",-1.010296,.0334676
"AUS","AUSTRALIA","355","Rubber products",-1.041856,.0920684
"AUS","AUSTRALIA","356","Plastic products",-.9516224,.1307434
"AUS","AUSTRALIA","361","Pottery  china  earthenware",-.7780095,.3707117
"AUS","AUSTRALIA","362","Glass and products",-1.011056,.0180918
"AUS","AUSTRALIA","369","Other non-metallic mineral products",-.5694067,.6444434
"AUS","AUSTRALIA","371","Iron and steel",-1.002303,.0709795
"AUS","AUSTRALIA","372","Non-ferrous metals",-1.010387,.025694
"AUS","AUSTRALIA","381","Fabricated metal products",-.9499981,.0810075
"AUS","AUSTRALIA","382","Machinery  except electrical",-.9879345,.0474894
"AUS","AUSTRALIA","383","Machinery  electric",-1.744206,.8834713
"AUS","AUSTRALIA","384","Transport equipment",-1.0141,.0083332
"AUS","AUSTRALIA","385","Professional and scientific equipment",-.985843,.0114076
"AUS","AUSTRALIA","390","Other manufactured products",-1.042677,.0396829
"AUT","AUSTRIA","311","Food products",-1.081418,.059955
"AUT","AUSTRIA","313","Beverages",-1.678589,.3794729
"AUT","AUSTRIA","314","Tobacco",-.9951388,.172286
"AUT","AUSTRIA","321","Textiles",-1.280375,.227734
"AUT","AUSTRIA","322","Wearing apparel  except footwear",-1.001527,.0514811
"AUT","AUSTRIA","323","Leather products",-1.015929,.1036311
"AUT","AUSTRIA","324","Footwear  except rubber or plastic",-.8895918,.1575178
"AUT","AUSTRIA","331","Wood products  except furniture",-.9135343,.0960177
"AUT","AUSTRIA","332","Furniture  except metal",-1.005778,.002657
"AUT","AUSTRIA","341","Paper and products",-1.118898,.0846204
"AUT","AUSTRIA","342","Printing and publishing",-1.081651,.1631434
"AUT","AUSTRIA","351","Industrial chemicals",-1.018613,.0088031
"AUT","AUSTRIA","352","Other chemicals",-1.011847,.0076216
"AUT","AUSTRIA","353","Petroleum refineries",-.8036391,.2810141
"AUT","AUSTRIA","354","Miscellaneous petroleum and coal products",-1.006244,.0199668
"AUT","AUSTRIA","355","Rubber products",-1.026348,.0522924
"AUT","AUSTRIA","356","Plastic products",-.9887068,.0458821
"AUT","AUSTRIA","361","Pottery  china  earthenware",-.9098364,.1513165
"AUT","AUSTRIA","362","Glass and products",-1.005604,.0059194
"AUT","AUSTRIA","369","Other non-metallic mineral products",-.8546631,.2226907
"AUT","AUSTRIA","371","Iron and steel",-1.008304,.0218191
"AUT","AUSTRIA","372","Non-ferrous metals",-1.011505,.009096
"AUT","AUSTRIA","381","Fabricated metal products",-.9996711,.0227361
"AUT","AUSTRIA","382","Machinery  except electrical",-1.022894,.0284512
"AUT","AUSTRIA","383","Machinery  electric",-1.383597,.4250778
"AUT","AUSTRIA","384","Transport equipment",-1.038648,.004286
"AUT","AUSTRIA","385","Professional and scientific equipment",-.9964873,.0071958
"AUT","AUSTRIA","390","Other manufactured products",-1.032096,.0261894
"AZE","AZERBAIJAN","311","Food products",-1.057907,.033696
"AZE","AZERBAIJAN","313","Beverages",-1.705592,.4479085
"AZE","AZERBAIJAN","314","Tobacco",-1.00048,.0291962
"AZE","AZERBAIJAN","321","Textiles",-1.7766,.6582789
"AZE","AZERBAIJAN","322","Wearing apparel  except footwear",-.8842285,.523551
"AZE","AZERBAIJAN","323","Leather products",-1.110943,.878279
"AZE","AZERBAIJAN","324","Footwear  except rubber or plastic",-.4660165,.8808652
"AZE","AZERBAIJAN","331","Wood products  except furniture",-.9248933,.0832714
"AZE","AZERBAIJAN","332","Furniture  except metal",-1.001003,.0074084
"AZE","AZERBAIJAN","341","Paper and products",-1.347429,.2589426
"AZE","AZERBAIJAN","342","Printing and publishing",-1.29917,.6358056
"AZE","AZERBAIJAN","351","Industrial chemicals",-1.014776,.0224742
"AZE","AZERBAIJAN","352","Other chemicals",-1.003868,.0125124
"AZE","AZERBAIJAN","353","Petroleum refineries",-.0739971,1.512236
"AZE","AZERBAIJAN","354","Miscellaneous petroleum and coal products",-1.003326,.0134921
"AZE","AZERBAIJAN","355","Rubber products",-1.036997,.0838724
"AZE","AZERBAIJAN","356","Plastic products",-.9537084,.1244444
"AZE","AZERBAIJAN","361","Pottery  china  earthenware",-.8623648,.2279347
"AZE","AZERBAIJAN","362","Glass and products",-1.006258,.0081297
"AZE","AZERBAIJAN","369","Other non-metallic mineral products",-.9294803,.115494
"AZE","AZERBAIJAN","371","Iron and steel",-1.01637,.0113622
"AZE","AZERBAIJAN","372","Non-ferrous metals",-1.01531,.0606439
"AZE","AZERBAIJAN","381","Fabricated metal products",-.9842647,.0376142
"AZE","AZERBAIJAN","382","Machinery  except electrical",-1.00164,.0385584
"AZE","AZERBAIJAN","383","Machinery  electric",-1.420553,.493217
"AZE","AZERBAIJAN","384","Transport equipment",-1.010246,.0104636
"AZE","AZERBAIJAN","385","Professional and scientific equipment",-.9769448,.019906
"AZE","AZERBAIJAN","390","Other manufactured products",-1.173753,.1789481
"BDI","BURUNDI","311","Food products",-1.063448,.0414225
"BDI","BURUNDI","313","Beverages",-1.082459,.0430019
"BDI","BURUNDI","314","Tobacco",-.9900033,.3363067
"BDI","BURUNDI","321","Textiles",-1.460538,.4045069
"BDI","BURUNDI","322","Wearing apparel  except footwear",-.8184302,.8231961
"BDI","BURUNDI","323","Leather products",-1.168406,1.318415
"BDI","BURUNDI","324","Footwear  except rubber or plastic",-.3854109,.8479413
"BDI","BURUNDI","331","Wood products  except furniture",-.0554005,.9712445
"BDI","BURUNDI","332","Furniture  except metal",-.9940414,.0378386
"BDI","BURUNDI","341","Paper and products",-1.28576,.2233326
"BDI","BURUNDI","342","Printing and publishing",-1.11008,.2265864
"BDI","BURUNDI","351","Industrial chemicals",-1.017343,.0106274
"BDI","BURUNDI","352","Other chemicals",-1.011086,.0081291
"BDI","BURUNDI","353","Petroleum refineries",-.7017819,.4331825
"BDI","BURUNDI","354","Miscellaneous petroleum and coal products",-1.005981,.0190736
"BDI","BURUNDI","355","Rubber products",-1.024079,.0478289
"BDI","BURUNDI","356","Plastic products",-.9579343,.1174912
"BDI","BURUNDI","361","Pottery  china  earthenware",-.7483804,.4404956
"BDI","BURUNDI","362","Glass and products",-1.008873,.0142402
"BDI","BURUNDI","369","Other non-metallic mineral products",-.948882,.0941835
"BDI","BURUNDI","371","Iron and steel",-1.005942,.0327039
"BDI","BURUNDI","372","Non-ferrous metals",-1.016735,.0583822
"BDI","BURUNDI","381","Fabricated metal products",-.9805244,.0427369
"BDI","BURUNDI","382","Machinery  except electrical",-.9429909,.0859104
"BDI","BURUNDI","383","Machinery  electric",-1.774393,.9825971
"BDI","BURUNDI","384","Transport equipment",-1.011854,.0106085
"BDI","BURUNDI","385","Professional and scientific equipment",-.9747279,.0185231
"BDI","BURUNDI","390","Other manufactured products",-1.082709,.135956
"BEL","BELGIUM","311","Food products",-1.056236,.0209126
"BEL","BELGIUM","313","Beverages",-1.126961,.0688684
"BEL","BELGIUM","314","Tobacco",-1.000664,.0236957
"BEL","BELGIUM","321","Textiles",-1.156488,.1167645
"BEL","BELGIUM","322","Wearing apparel  except footwear",-1.011138,.035832
"BEL","BELGIUM","323","Leather products",-1.016419,.1076743
"BEL","BELGIUM","324","Footwear  except rubber or plastic",-.9279505,.1050087
"BEL","BELGIUM","331","Wood products  except furniture",-.9358854,.0729254
"BEL","BELGIUM","332","Furniture  except metal",-1.006836,.0022767
"BEL","BELGIUM","341","Paper and products",-1.073524,.0445195
"BEL","BELGIUM","342","Printing and publishing",-1.075539,.1489683
"BEL","BELGIUM","351","Industrial chemicals",-1.070959,.005157
"BEL","BELGIUM","352","Other chemicals",-1.028966,.0052829
"BEL","BELGIUM","353","Petroleum refineries",-.9194485,.1133935
"BEL","BELGIUM","354","Miscellaneous petroleum and coal products",-1.002324,.0056879
