ccode,year,isic,imp_tv,imp_q,imp_uv,exp_tv,exp_q,exp_uv,mir_imp_tv,mir_imp_q,mir_imp_uv,mir_exp_tv,mir_exp_q,mir_exp_uv,ntb_core_s,ntb_core_w,ave_core_sim,ave_core_wgt,tar_savg_ahs,tar_iwahs,tar_savg_mfn,tar_iwmfn,tar_hs_lines,name,isicnames,ID_elast,ID_elast_se,ccode_isic,ccode_year,ind_prod_index,n_establ,n_employees,n_female_emp,wage_bill,output,gdp_c2000,gdp_current,gdp_pcppp_c2000,gdp_pcppp_current,pop,tau_imput,tau,tauhat,inv_imp_pen,inv_imp_pen_elast,alpha,X,Y,X2,Y2,net_imp_tv
ARG,1999,342,292063.1,55339503.0,5.27766,105543.5,23246927.0,4.53956,263681.2,1011e5,4.634792,80514.64,22942380.0,3.538737,1.4444444,1.8458511,1.1935112,1.0641706,1.1294,1.0465,1.1283,1.0526,31,ARGENTINA,Printing and publishing,-1.422103,0.8637366,ARG-342,ARG-1999,183.0,1185.6079031774452,90898.13194354196,932.6769743935513,7645954.381415973,37406430.26788806,287e9,284e9,12410.04,12145.29,36648054.0,0,1.1106706,0.09964304448141506,128.07653643301077,90.06136435476951,0.0024802990069688817,0.14170267248615376,18.148787495327866,-0.14205501138983898,-18.193913841762473,186519.59999999998
ARG,1999,351,2957755.0,4436e6,0.664653,1043538.0,1076e6,0.9157276,2269852.0,1692e7,0.7010576,1009969.0,1051e6,0.9730428,1.1494607000000001,1.3638417999999999,1.096661,1.1335649,1.1067,1.0902,1.1098,1.1176,2253,ARGENTINA,Industrial chemicals,-1.015213,0.0136077,ARG-351,ARG-1999,139.0,142.8656809356472,1303.1292439600086,51.514102186139866,101743.77579433104,342636.1216378083,287e9,284e9,12410.04,12145.29,36648054.0,0,1.2237649000000002,0.18284958164758616,0.11584330738611152,0.11410739163713579,3.555793832763968e-5,0.18563127233319085,0.02150414054136881,-0.1856378732332386,-0.021504905211462064,1914217.0
ARG,1999,352,1534432.0,2726e5,5.628955,695639.5,1627e5,4.171615,1276115.0,2898e5,4.409822,663792.6,1423e5,4.57631,1.1043956,1.0605636,1.057978,1.0565506,1.1298,1.11,1.1289,1.1395,786,ARGENTINA,Other chemicals,-0.9926235,0.026975,ARG-352,ARG-1999,139.0,218.13799641619903,3485.350071440697,160.9215366939302,173046.9706850089,1400390.2649774307,287e9,284e9,12410.04,12145.29,36648054.0,0,1.1665506,0.1427718609034191,0.9126440695823801,0.9194262170726163,9.510327810149748e-5,0.14171870427146502,0.12933873500225165,-0.14173218346672517,-0.12935103670986858,838792.5
ARG,1999,353,353568.3,1736e6,0.2037131,947073.2,5843e6,0.1620923,203877.6,1124e6,0.1632187,962949.4,4938e6,0.1816478,1.0,1.0,1.0,1.0,1.0723,1.0235,1.0412,1.0254,46,ARGENTINA,Petroleum refineries,-0.4936153,0.7177934,ARG-353,ARG-1999,111.0,291.10297483724486,6845.0,773.7667748711365,329164.6,6118059.0,287e9,284e9,12410.04,12145.29,36648054.0,0,1.0235,0.022960429897410917,17.303754324129173,35.05514177564831,1.8677662939483772e-4,0.011333619491939437,0.1961141672916817,-0.011335736742639956,-0.19615080367764606,-593504.8999999999
ARG,1999,354,48177.49,11183715.0,4.307824,7636.642,19857676.0,0.3845688,31107.19,10978011.0,2.832921,7985.053,18569318.0,0.4300133,1.0,1.0,1.0,1.0,1.0863,1.0628,1.0798,1.0762,14,ARGENTINA,Miscellaneous petroleum and coal products,-1.008093,0.0258879,ARG-354,ARG-1999,111.0,1167.3851058610962,41332.46757393167,1522.475081293938,291918.53340980574,4038351.3636829415,287e9,284e9,12410.04,12145.29,36648054.0,0,1.0628,0.05908919834399696,83.82236940286722,83.14944097704004,0.0011278216184120355,0.05956740722619491,4.993081212885133,-0.059634664490013506,-4.998718876097961,40540.848
ARG,1999,355,356692.1,98790323.0,3.610597,126113.7,48449988.0,2.602966,269713.4,79369282.0,3.118434,127595.3,29149847.0,3.074212,1.02,1.1068541,1.0547647,1.1219271,1.1582,1.1104,1.1694,1.1757,79,ARGENTINA,Rubber products,-1.073844,0.1657749,ARG-355,ARG-1999,187.0,1724.151810603666,10550.0,1532.207392362002,151075.5,604302.1,287e9,284e9,12410.04,12145.29,36648054.0,0,1.2323271,0.18852713699146922,1.6941841436914358,1.5776818082435025,2.878734025004438e-4,0.20244873489546733,0.3429854365702918,-0.20250703128359315,-0.34308420138668905,230578.39999999997
ARG,1999,356,314605.7,72276939.0,4.352781,75502.64,21829039.0,3.458817,277269.7,68778534.0,3.617164,68362.91,15713131.0,3.566839,1.3137254999999999,1.511005,1.2102692,1.2101127,1.1901,1.1465,1.2234,1.2125,69,ARGENTINA,Plastic products,-0.9255369,0.20035240000000001,ARG-356,ARG-1999,187.0,831.1077782782311,31063.0,4536.246126526978,395197.6,2559280.0,287e9,284e9,12410.04,12145.29,36648054.0,0,1.3566127000000001,0.2628699406986239,8.134881217981746,8.78936454935697,8.476029859593637e-4,0.2432958300173882,1.9791826780217308,-0.24350222322888473,-1.980861662281453,239103.06
ARG,1999,361,33874.53,23468803.0,1.443386,5069.829,2341634.0,2.165082,37532.28,21373050.0,1.586471,6015.531,1746529.0,2.470812,1.2142857,1.0252568,1.163744,1.1948978000000001,1.191,1.138,1.1932,1.1905999999999999,21,ARGENTINA,Pottery  china  earthenware,-0.4263721,0.9534955,ARG-361,ARG-1999,127.0,443.5526461252491,5035.848592653602,708.4523521340108,121291.32338722241,1811175.9306246853,287e9,284e9,12410.04,12145.29,36648054.0,0,1.3328978,0.24975493244868438,53.46718996912091,125.4003016827811,1.3741107761557005e-4,0.10648853503350371,5.69364273216973,-0.10650316974882836,-5.6944252092741365,28804.701
ARG,1999,362,119840.3,1985e5,0.6035897,29064.98,48176793.0,0.6032983,102931.3,1565e5,0.5961055,28160.16,37073164.0,0.6860173,1.0338983,1.1719316,1.0896084,1.1280161,1.1586,1.113,1.1548,1.1553,82,ARGENTINA,Glass and products,-1.018483,0.0318191,ARG-362,ARG-1999,127.0,23.381663803263773,7089.0,311.4150729021403,105052.5,531265.6,287e9,284e9,12410.04,12145.29,36648054.0,0,1.2410161,0.19420868109607922,4.433113067974629,4.352662801416056,1.934345545332366e-4,0.1977982401487781,0.8768619632259321,-0.19783650856568288,-0.8770316114450034,90775.32
ARG,1999,369,153483.1,5192e5,0.2952712,63666.85,2823e5,0.2255629,141819.8,5043e5,0.2621301,65450.86,2318e5,0.1714154,1.0657895,1.0962215,1.0103989,1.0131942,1.1085,1.0666,1.121,1.1249,128,ARGENTINA,Other non-metallic mineral products,-0.0435949,1.415587,ARG-369,ARG-1999,127.0,1437.8201150746784,51535.97235723662,3732.271735263306,1925599.8618469,20170519.40674858,287e9,284e9,12410.04,12145.29,36648054.0,0,1.0797942,0.07389760011676302,131.41850410076796,3014.5384919054286,0.0014062403520044098,0.0032215584873302736,0.4233723972780774,-0.0032260951525131423,-0.42396859903001605,89816.25
ARG,1999,371,579471.6,1054e6,0.5497853,561680.5,1568e6,0.3582167,491913.4,1021e6,0.481203,583985.7,1383e6,0.4223169,1.1736842,1.2094322,1.0486305,1.0720599,1.145,1.0973,1.1508,1.1618,279,ARGENTINA,Iron and steel,-1.001769,0.0879277,ARG-371,ARG-1999,104.0,74.62544548132924,17240.0,205.21183386181826,395197.6,2559280.0,287e9,284e9,12410.04,12145.29,36648054.0,0,1.1693599,0.1448312876129923,4.416575376601718,4.408776251412968,4.7042061223769206e-4,0.14508749416077962,0.6407898541633448,-0.145155778430939,-0.6410914367895398,17791.099999999977
